Years_Learn,PresP_Count,In_Count,On_Count,PastIrr_Count,Poss_Count,Cop_Count,Art_Count,PastReg_Count,3PS_Count,3PIrr_Count,Aux_Count
less than 1 year,0.012038708605409478,0.021259819521251076,0.000878210416322939,0.027360764930164736,0.00022598870056497175,0.04117041333108612,0.05125804881588079,0.009241844696487617,0.002191813321474172,0.02815772091870271,0.013034211822673794
1-2 years,0.011226790203212954,0.0217115979634437,0.003009366199833853,0.021357233430924452,0.0,0.03225348191719535,0.04873248328256553,0.006873005289322613,0.002879778358813724,0.02582525253232425,0.013119503273663576
3-5 years,0.01293484485057479,0.022240929203396213,0.0005259467040673212,0.017896200067393977,0.0005860375740751858,0.041438180754902375,0.05551630426778868,0.0058973713182765815,0.0023569858344962623,0.033155397734094705,0.011307947496838652
more than 5 years,0.012690469714868424,0.02374614485479954,0.0031559081927759274,0.015537695454034512,0.00033643701815457857,0.036640158050215296,0.061590739402074615,0.0055993536236695046,0.004418372050438725,0.029696778725488177,0.012470739349869506
